,HA3,HA6,HA7,HF7,HF8_01,HF8_02,HF8_03,HF8_04,HF8_05,HF8_06,HF8_07,HF8_08,HF8_09,HF8_10,HF8_11,HF8_12,HF8_13,HF8_14,HF12,HF13,HF14,HF15,HF16,HF16L,HF18
21436,M 100-200 TYS.,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,20.0,POPRAWIŁA SIĘ
21437,M 100-200 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,19.0,POGORSZYŁA SIĘ
21491,WIEŚ,PRACUJĄCYCH NA WŁASNY RACHUNEK,PRACUJĄCYCH NA WŁASNY RACHUNEK,TRUDNO POWIEDZIEĆ,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,0.0,,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,18.0,NIE ZMIENIŁA SIĘ
21565,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,,,,,,,,,,,,,,,,W EURO,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,23.0,POGORSZYŁA SIĘ
21613,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,30.0,POWYŻEJ MIESIĘCZNYCH - DO 3-MIESIĘCZNYCH DOCHODÓW,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,4.0,NIE ZMIENIŁA SIĘ
21628,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,TRUDNO POWIEDZIEĆ,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,TAK,NIE,W ZŁOTYCH,5.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,28.0,NIE ZMIENIŁA SIĘ
21641,M 500 TYS. +,PRACOWNIKÓW,PRACOWNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,TAK,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,W ZŁOTYCH,15.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,3.0,NIE ZMIENIŁA SIĘ
21648,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,5.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,23.0,POGORSZYŁA SIĘ
21649,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,TAK,NIE,NIE,WE FRANKACH SZWAJCARSKICH,30.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,24.0,NIE ZMIENIŁA SIĘ
21677,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,30.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,21.0,NIE ZMIENIŁA SIĘ
21683,M 20-100 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,,,,,,,,,,,,,,,,W ZŁOTYCH,33.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,17.0,NIE ZMIENIŁA SIĘ
21687,M PONIŻEJ 20 TYS.,EMERYTÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,WE FRANKACH SZWAJCARSKICH,30.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,4.0,NIE ZMIENIŁA SIĘ
21690,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,NIE,NIE,NIE,TAK,NIE,NIE,TAK,TAK,TAK,TAK,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,30.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,24.0,POPRAWIŁA SIĘ
21708,WIEŚ,PRACOWNIKÓW,RENCISTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
21709,WIEŚ,PRACOWNIKÓW,RENCISTÓW,TRUDNO POWIEDZIEĆ,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,6.0,POGORSZYŁA SIĘ
21735,WIEŚ,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,RENCISTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,,POWYŻEJ MIESIĘCZNYCH - DO 3-MIESIĘCZNYCH DOCHODÓW,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,5.0,POGORSZYŁA SIĘ
21763,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,50.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,5.0,NIE ZMIENIŁA SIĘ
21791,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,,,,,,,,,,,,,,,,W ZŁOTYCH,,POWYŻEJ 3-MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,MIĘDZY 20 I 30 PROC.,MNIEJ NIŻ ROK,,POGORSZYŁA SIĘ
21792,WIEŚ,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,75.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,6.0,NIE ZMIENIŁA SIĘ
21805,M 20-100 TYS.,PRACUJĄCYCH NA WŁASNY RACHUNEK,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,30.0,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
21829,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,30.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
21836,M 500 TYS. +,EMERYTÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,48.0,POGORSZYŁA SIĘ
21857,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,TAK,NIE,NIE,TAK,NIE,NIE,NIE,NIE,TAK,NIE,TAK,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,6.0,POPRAWIŁA SIĘ
21881,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,15.0,POPRAWIŁA SIĘ
21948,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,15.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,18.0,NIE ZMIENIŁA SIĘ
21984,M 20-100 TYS.,PRACOWNIKÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,28.0,POGORSZYŁA SIĘ
22017,M 20-100 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,TAK,NIE,TAK,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,NIE,NIE,NIE,W EURO,20.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,30.0,NIE ZMIENIŁA SIĘ
22018,M 20-100 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,NIE,TAK,TAK,WE FRANKACH SZWAJCARSKICH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,25.0,POPRAWIŁA SIĘ
22020,WIEŚ,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,TAK,WE FRANKACH SZWAJCARSKICH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,24.0,NIE ZMIENIŁA SIĘ
22021,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,TAK,TAK,NIE,TAK,TAK,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,30.0,POGORSZYŁA SIĘ
22040,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
22044,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
22076,WIEŚ,PRACOWNIKÓW,UTRZ. SIĘ Z NIEZAROBKOWYCH ŹRÓDEŁ,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,50.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
22092,WIEŚ,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,13.0,POGORSZYŁA SIĘ
22098,M PONIŻEJ 20 TYS.,PRACUJĄCYCH NA WŁASNY RACHUNEK,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,50.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,29.0,POGORSZYŁA SIĘ
22121,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,TAK,NIE,TAK,NIE,TAK,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
22122,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,TAK,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,30.0,,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,20.0,POPRAWIŁA SIĘ
22161,M 200-500 TYS.,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,ROLNIKÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,TAK,NIE,TAK,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ MIESIĘCZNYCH - DO 3-MIESIĘCZNYCH DOCHODÓW,MIĘDZY 10 I 20 PROC.,MNIEJ NIŻ ROK,,NIE ZMIENIŁA SIĘ
22169,M 200-500 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,26.0,NIE ZMIENIŁA SIĘ
22176,M 200-500 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,40.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,2.0,NIE ZMIENIŁA SIĘ
22181,M 20-100 TYS.,EMERYTÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,10.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,5.0,POGORSZYŁA SIĘ
22183,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,50.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,25.0,POGORSZYŁA SIĘ
22201,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,30.0,POPRAWIŁA SIĘ
22202,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,TAK,TAK,NIE,TAK,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,20.0,POPRAWIŁA SIĘ
22203,M 500 TYS. +,PRACUJĄCYCH NA WŁASNY RACHUNEK,PRACOWNIKÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W EURO,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
22207,M 500 TYS. +,PRACOWNIKÓW,RENCISTÓW,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,TAK,TAK,TAK,TAK,TAK,TAK,TAK,NIE,TAK,NIE,W ZŁOTYCH,50.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,24.0,NIE ZMIENIŁA SIĘ
22209,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,30.0,POPRAWIŁA SIĘ
22212,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,NIE,NIE,TAK,NIE,NIE,NIE,NIE,TAK,TAK,TAK,TAK,NIE,NIE,NIE,W EURO,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,30.0,POPRAWIŁA SIĘ
22218,M 500 TYS. +,PRACOWNIKÓW,PRACOWNIKÓW,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,25.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,20.0,POPRAWIŁA SIĘ
22219,M 500 TYS. +,PRACOWNIKÓW,PRACOWNIKÓW,,TAK,TAK,TAK,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,27.0,POPRAWIŁA SIĘ
22226,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
22234,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,TAK,NIE,NIE,NIE,W EURO,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,9.0,NIE ZMIENIŁA SIĘ
22250,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W INNEJ WALUCIE,20.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,9.0,POGORSZYŁA SIĘ
22251,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,33.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
22269,M 500 TYS. +,PRACOWNIKÓW,PRACOWNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,25.0,NIE ZMIENIŁA SIĘ
22271,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,37.0,POGORSZYŁA SIĘ
22272,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,TAK,NIE,TAK,TAK,TAK,NIE,NIE,TAK,TAK,TAK,TAK,NIE,NIE,TAK,WE FRANKACH SZWAJCARSKICH,20.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,21.0,NIE ZMIENIŁA SIĘ
22280,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,TAK,TAK,W ZŁOTYCH,40.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,6.0,NIE ZMIENIŁA SIĘ
22284,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,TAK,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
