,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
385,Michael Frazier,2015,,75.75,76.25,80.0,101.5,35.0,136.5,24.0,125.5,199.0,7.4,8.25,9.25,10.0,10.8,3.32
386,Michael Qualls,2015,,76.0,77.0,84.25,104.5,39.5,144.0,34.0,138.5,201.0,4.0,9.0,10.25,9.0,11.88,
387,Mouhammadou Jaiteh,2015,,81.5,82.5,87.25,110.5,31.5,142.0,24.5,135.0,247.0,9.9,9.0,9.25,7.0,12.05,3.38
388,Quinn Cook,2015,,72.25,74.0,76.0,96.5,31.0,127.5,24.5,121.0,179.0,6.7,7.5,8.25,14.0,11.28,3.38
389,Robert Upshaw,2015,,82.75,84.0,89.5,113.0,,,,,258.0,12.5,10.0,11.0,,,
390,Ryan Boatright,2015,,70.0,71.0,72.5,92.5,41.0,133.5,32.0,124.5,170.0,6.6,7.5,8.75,10.0,10.79,3.26
391,T.J. McConnell,2015,,72.5,74.0,74.0,96.5,31.5,128.0,26.0,122.5,188.0,7.3,7.5,7.0,7.0,10.84,3.3
392,TaShawn Thomas,2015,,79.25,80.0,86.0,108.0,30.5,138.5,26.0,134.0,240.0,12.4,9.0,9.25,9.0,11.69,3.47
393,Terran Petteway,2015,,76.75,78.0,83.25,104.5,31.0,135.5,25.0,129.5,209.0,4.9,8.25,8.25,15.0,10.96,3.32
394,Treveon Graham,2015,,76.75,77.75,82.5,103.0,31.5,134.5,28.5,131.5,219.0,5.5,8.5,8.25,11.0,11.6,3.3
395,Vince Hunter,2015,,78.75,79.5,83.0,104.5,37.5,142.0,33.5,138.0,208.0,4.6,9.0,8.75,13.0,11.33,3.26
396,Thon Maker,2016,10,83.75,84.75,87.0,110.5,36.5,147.0,32.0,142.5,216.0,6.1,8.75,9.5,,11.15,3.33
397,Taurean Prince,2016,12,78.5,79.75,83.5,102.0,36.0,138.0,34.0,136.0,220.0,6.5,9.0,8.5,,10.96,3.24
398,Denzel Valentine,2016,14,76.0,77.75,82.75,102.0,32.0,134.0,27.0,129.0,210.0,9.2,8.5,9.75,,10.51,3.46
399,Justin Jackson,2016,15,79.0,80.25,82.75,103.5,34.5,138.0,29.5,133.0,193.0,7.6,8.75,8.75,,11.32,3.26
400,Wade Baldwin,2016,17,74.5,76.0,83.25,100.0,38.0,138.0,32.5,132.5,202.0,5.2,9.0,9.75,,10.45,3.19
401,Henry Ellenson,2016,18,82.0,83.5,86.25,108.0,,,,,242.0,11.2,8.5,9.75,,,
402,Malik Beasley,2016,19,75.5,76.5,79.0,100.5,,,,,190.0,6.9,8.5,9.0,,,
403,Caris LeVert,2016,20,77.75,79.0,82.0,101.0,,,,,191.0,7.6,8.5,9.25,,,
404,DeAndre Bembry,2016,21,76.25,77.75,81.25,101.0,38.0,139.0,32.0,133.0,207.0,7.0,8.0,9.25,,10.9,3.17
405,Malachi Richardson,2016,22,76.75,78.25,84.0,101.5,38.0,139.5,33.0,134.5,200.0,7.0,8.75,10.0,,10.56,3.33
406,Brice Johnson,2016,25,81.0,82.5,84.5,106.5,38.0,144.5,33.5,140.0,209.0,7.5,9.0,8.25,,11.88,3.2
407,Caleb Swanigan,2016,26,79.5,80.5,87.5,107.0,29.0,136.0,26.0,133.0,247.0,12.6,9.0,10.25,,12.8,
408,Pascal Siakam,2016,27,80.25,81.5,87.25,107.5,36.5,144.0,30.5,138.0,227.0,5.2,9.25,10.0,,11.25,3.41
409,Skal Labissiere,2016,28,82.5,83.75,86.5,105.5,,,,,216.0,5.7,8.75,9.0,,,
410,Jaylen Brown,2016,3,77.25,78.75,83.75,102.5,,,,,223.0,5.1,8.75,9.0,,,
411,Damian Jones,2016,30,82.25,83.5,87.75,107.0,37.0,144.0,36.0,143.0,244.0,6.6,8.75,10.5,,11.35,3.2
412,Josh Hart,2016,30,76.0,77.5,80.5,99.5,38.5,138.0,29.5,129.0,204.0,5.8,8.5,9.25,,11.15,3.2
413,Deyonta Davis,2016,31,81.25,82.5,86.5,108.5,,,,,237.0,9.7,9.0,9.25,,,
414,Cheick Diallo,2016,33,79.5,81.0,88.5,107.5,35.0,142.5,31.0,138.5,219.0,5.6,8.5,9.75,,11.24,3.26
415,Tyler Ulis,2016,34,68.75,70.0,74.0,88.5,38.0,126.5,32.5,121.0,149.0,5.2,7.5,7.5,,10.8,3.2
416,Malcolm Brogdon,2016,36,75.75,77.5,82.5,98.0,35.5,133.5,30.5,128.5,223.0,5.4,9.0,10.25,,10.77,3.31
417,Chinanu Onuaku,2016,37,81.0,82.0,86.75,108.5,33.5,142.0,27.5,136.0,245.0,8.6,9.0,8.0,,11.65,3.5
418,Patrick McCaw,2016,38,77.25,78.75,82.0,100.5,38.0,138.5,30.0,130.5,181.0,4.7,8.75,8.75,,11.01,3.3
419,Diamond Stone,2016,40,81.0,82.25,86.75,108.5,29.5,138.0,27.0,135.5,254.0,12.9,8.5,7.75,,12.02,3.5
420,Stephen Zimmerman,2016,41,82.25,83.75,87.25,108.5,31.0,139.5,26.0,134.5,234.0,11.2,9.0,9.0,,12.08,3.43
421,Isaiah Whitehead,2016,42,75.25,76.5,80.75,100.0,35.5,135.5,27.5,127.5,210.0,9.3,8.5,8.75,,11.65,3.34
422,Zhou Qi,2016,43,85.25,86.25,91.75,112.5,32.0,144.5,31.5,144.0,218.0,4.9,9.25,9.5,,11.27,3.46
423,Demetrius Jackson,2016,45,72.0,73.25,77.5,93.0,43.5,136.5,37.5,130.5,194.0,6.5,8.25,9.0,,10.81,3.25
424,Jake Layman,2016,47,80.0,81.25,81.25,102.0,39.5,141.5,33.0,135.0,209.0,7.1,8.25,9.25,,11.35,3.24
425,Michael Gbinije,2016,49,77.5,78.75,79.5,101.0,37.5,138.5,33.5,134.5,205.0,5.4,8.0,9.0,,11.0,3.12
426,Kris Dunn,2016,5,75.0,76.25,81.5,100.0,,,,,,,,,,,
427,Georges Niang,2016,50,78.75,80.5,82.0,103.0,31.0,134.0,25.0,128.0,231.0,10.1,9.25,9.25,,11.64,3.49
428,Ben Bentil,2016,51,79.25,80.25,85.5,105.0,33.0,138.0,29.0,134.0,229.0,9.7,9.5,10.0,,11.16,3.3
429,Joel Bolomboy,2016,52,79.5,81.0,85.75,103.5,40.5,144.0,37.5,141.0,224.0,5.2,9.0,10.25,,10.26,3.17
430,Kay Felder,2016,54,68.25,69.5,74.5,88.5,44.0,132.5,35.5,124.0,177.0,5.8,8.25,8.5,,11.52,3.15
431,Marcus Paige,2016,55,72.5,73.75,78.25,97.0,39.5,136.5,33.5,130.5,164.0,4.3,7.75,8.75,,10.82,3.15
432,Daniel Hamilton,2016,56,78.25,80.0,81.0,103.5,29.0,132.5,26.0,129.5,197.0,6.0,9.0,8.5,,11.48,3.4
433,Isaiah Cousins,2016,59,75.25,76.5,78.25,98.5,37.0,135.5,30.5,129.0,194.0,4.8,8.25,8.75,,10.79,3.24
434,Jaron Blossomgame,2016,59,78.25,79.25,82.0,102.0,41.0,143.0,35.0,137.0,214.0,5.3,8.5,10.0,,11.53,3.2
435,Buddy Hield,2016,6,75.75,77.0,81.25,101.0,,,,,212.0,6.1,8.5,9.0,,,
436,Marquese Chriss,2016,8,80.75,82.0,84.25,105.0,38.5,143.5,32.5,137.5,233.0,8.5,9.0,9.0,,11.93,3.26
437,Jakob Poeltl,2016,9,84.25,85.0,86.75,111.5,,,,,239.0,5.8,9.25,10.25,,,
438,A.J. English,2016,,74.0,75.0,82.0,98.5,35.5,134.0,29.5,128.0,182.0,5.3,8.75,8.5,,12.27,3.28
439,Cat Barber,2016,,73.5,74.75,77.5,95.5,,,,,173.0,4.5,8.0,8.5,,,
440,Dedric Lawson,2016,,79.0,80.0,86.5,106.5,28.0,134.5,22.5,129.0,225.0,11.1,9.5,9.5,,12.48,3.65
441,Dorian Finney-Smith,2016,,78.5,79.75,83.75,105.5,35.5,141.0,32.5,138.0,213.0,6.5,9.0,9.75,,11.01,3.27
442,Elgin Cook,2016,,77.0,78.25,82.0,100.5,,,,,210.0,6.4,8.5,10.25,,,
443,Gary Payton II,2016,,74.0,75.0,80.0,99.5,38.5,138.0,31.5,131.0,184.0,4.0,8.75,9.5,,11.57,3.23
444,Isaiah Miles,2016,,78.75,79.75,82.5,105.0,31.5,136.5,24.0,129.0,220.0,9.6,9.0,9.5,,11.76,3.39
445,Jarrod Uthoff,2016,,80.5,81.75,83.5,104.0,34.5,138.5,29.0,133.0,214.0,6.0,8.75,9.0,,11.52,3.5
446,Kyle Wiltjer,2016,,80.75,82.0,84.25,102.5,35.5,138.0,28.5,131.0,243.0,15.3,8.25,9.5,,11.35,3.48
447,Malik Newman,2016,,74.25,75.5,77.75,97.5,35.5,133.0,30.0,127.5,182.0,5.6,8.25,9.25,,10.88,3.28
448,Marcus Lee,2016,,81.0,82.25,87.0,107.5,35.5,143.0,28.5,136.0,211.0,5.4,9.0,9.0,,11.68,3.25
449,Melo Trimble,2016,,73.25,74.5,74.0,92.5,35.5,128.0,26.5,119.0,192.0,8.4,8.0,8.75,,10.57,3.2
450,Nigel Hayes,2016,,78.25,79.25,87.0,107.5,28.5,136.0,25.5,133.0,245.0,10.9,8.5,9.5,,12.11,3.2
451,Perry Ellis,2016,,79.0,80.25,82.25,102.0,38.0,140.0,32.0,134.0,218.0,4.6,8.0,8.5,,10.73,3.13
452,Robert Carter,2016,,78.75,80.5,87.25,106.5,30.5,137.0,24.5,131.0,251.0,12.5,8.75,9.5,,11.97,3.65
453,Ron Baker,2016,,75.25,76.25,81.75,97.5,35.5,133.0,30.0,127.5,212.0,7.9,8.75,9.5,,10.77,3.45
454,Sheldon McClellan,2016,,77.0,78.25,79.0,99.5,41.5,141.0,35.0,134.5,198.0,4.8,8.0,8.0,,10.45,3.26
455,Troy Williams,2016,,77.75,78.75,80.25,102.0,36.0,138.0,30.0,132.0,218.0,10.0,8.25,9.25,,10.72,3.35
456,Wayne Selden,2016,,76.25,77.75,82.5,101.0,,,,,232.0,7.3,9.0,9.25,,,
457,Zach Collins,2017,10,82.25,84.0,85.0,111.0,,,,,232.0,8.9,8.75,9.25,,,
458,Luke Kennard,2017,12,76.5,77.5,77.25,98.5,,,,,196.0,6.6,8.0,8.75,,,
459,Donovan Mitchell,2017,13,73.25,75.0,82.0,97.0,40.5,137.5,36.5,133.5,211.0,5.9,8.5,9.5,,11.53,3.01
460,Bam Adebayo,2017,14,80.75,81.75,86.75,108.0,38.5,146.5,33.5,141.5,243.0,5.2,9.5,8.75,,11.94,3.24
461,Justin Patton,2017,16,82.0,83.25,87.0,111.5,30.5,142.0,26.0,137.5,229.0,7.8,8.75,9.75,,11.8,3.46
462,D.J. Wilson,2017,17,80.75,82.5,87.0,109.5,,,,,234.0,6.4,9.25,10.25,,,
463,T.J. Leaf,2017,18,80.75,81.75,83.0,107.0,34.5,141.5,29.0,136.0,222.0,6.8,8.5,9.5,,11.55,3.27
464,John Collins,2017,19,80.25,81.5,83.25,106.5,37.5,144.0,33.0,139.5,225.0,5.4,9.0,10.0,,11.66,3.27
465,Harry Giles,2017,20,81.25,82.5,87.25,109.5,32.5,142.0,27.0,136.5,232.0,5.2,9.5,10.75,,11.08,3.34
466,Terrance Ferguson,2017,21,77.5,79.0,80.75,103.0,38.0,141.0,28.5,131.5,184.0,5.8,8.5,10.0,,11.16,3.32
467,Jarrett Allen,2017,22,81.0,82.25,89.25,109.5,35.5,145.0,31.5,141.0,234.0,7.4,9.5,10.5,,11.82,3.21
468,OG Anunoby,2017,23,78.25,79.75,86.25,107.5,,,,,232.0,6.8,9.25,9.5,,,
469,Tyler Lydon,2017,24,80.25,81.5,84.0,107.5,33.5,141.0,29.5,137.0,215.0,13.6,8.75,8.75,,11.68,3.46
470,Kyle Kuzma,2017,27,80.0,81.5,84.25,107.5,34.0,141.5,27.0,134.5,223.0,9.4,8.5,9.5,,10.72,3.25
471,Tony Bradley,2017,28,81.25,82.75,89.0,112.5,27.5,140.0,24.5,137.0,249.0,12.0,9.5,9.5,,11.79,3.44
472,Derrick White,2017,29,75.25,76.5,79.5,101.5,36.5,138.0,35.5,137.0,190.0,6.2,8.25,8.5,,10.84,3.08
473,Frank Jackson,2017,31,74.0,75.5,79.5,98.0,42.0,140.0,35.5,133.5,202.0,6.7,8.25,9.0,,10.94,3.14
474,Davon Reed,2017,32,76.5,77.5,84.0,102.0,36.0,138.0,28.5,130.5,206.0,6.5,9.25,9.5,,11.37,3.34
475,Wesley Iwundu,2017,33,77.5,78.75,85.0,105.5,36.0,141.5,31.5,137.0,193.0,4.0,8.75,9.5,,11.25,3.36
476,Frank Mason,2017,34,71.0,72.0,75.25,94.0,41.0,135.0,34.0,128.0,189.0,4.3,8.0,9.25,,11.41,3.18
477,Ivan Rabb,2017,35,80.75,82.0,85.5,109.0,32.5,141.5,28.5,137.5,220.0,6.8,8.75,9.0,,12.68,3.35
478,Semi Ojeleye,2017,37,77.25,78.75,81.75,102.0,40.5,142.5,35.0,137.0,241.0,5.5,8.75,9.5,,10.58,3.16
479,Jordan Bell,2017,38,79.0,80.5,83.75,104.5,38.0,142.5,31.5,136.0,224.0,5.4,9.25,9.5,,10.63,3.21
480,Jawun Evans,2017,39,70.75,71.5,77.5,95.0,33.5,128.5,27.5,122.5,185.0,9.1,8.0,7.75,,11.34,3.21
481,Dwayne Bacon,2017,40,76.75,78.25,82.0,103.5,36.5,140.0,30.0,133.5,222.0,7.9,8.75,10.0,,11.7,3.22
482,Tyler Dorsey,2017,41,75.0,76.5,77.25,99.5,36.0,135.5,30.5,130.0,183.0,4.7,8.5,9.25,,10.55,3.16
483,Thomas Bryant,2017,42,81.5,82.75,90.0,112.5,33.0,145.5,25.5,138.0,248.0,9.4,9.5,10.25,,11.42,3.37
484,Damyean Dotson,2017,44,76.5,77.5,81.0,100.0,38.0,138.0,31.5,131.5,205.0,5.3,8.5,9.25,,11.18,3.13
485,Dillon Brooks,2017,45,77.0,78.0,78.0,100.5,37.5,138.0,31.0,131.5,220.0,7.5,8.25,9.25,,11.14,3.21
486,Ike Anigbogu,2017,47,80.5,81.75,90.25,110.5,32.5,143.0,29.5,140.0,252.0,5.4,9.5,10.0,,12.52,3.44
487,Sindarius Thornwell,2017,48,75.5,76.75,82.0,103.0,30.5,133.5,27.0,130.0,212.0,7.8,8.75,8.75,,11.48,3.36
488,De'Aaron Fox,2017,5,74.0,75.25,78.5,100.0,,,,,170.0,4.5,8.5,8.5,,,
489,Monte Morris,2017,51,73.25,74.5,76.0,96.5,33.5,130.0,28.0,124.5,175.0,6.9,8.25,8.75,,11.0,3.19
490,Edmond Sumner,2017,52,76.0,77.75,81.0,102.5,,,,,176.0,8.3,8.25,9.0,,,
491,Kadeem Allen,2017,53,73.0,74.25,81.25,99.5,35.5,135.0,33.0,132.5,192.0,6.4,8.5,8.75,,11.24,3.15
492,Alec Peters,2017,54,79.25,80.75,82.75,105.0,,,,,232.0,8.8,8.75,10.0,,,
493,Nigel Williams-Goss,2017,55,73.5,75.0,79.25,99.0,34.5,133.5,27.5,126.5,190.0,5.6,8.75,9.25,,10.42,3.19
494,Andrew Jones,2017,,75.0,76.25,78.5,99.5,35.0,134.5,27.0,126.5,185.0,4.9,8.5,9.0,,11.38,3.35
495,Cameron Oliver,2017,,79.0,80.25,85.25,106.5,39.5,146.0,28.0,134.5,239.0,7.7,9.5,10.25,,12.17,3.16
496,Chris Boucher,2017,,80.0,81.5,88.0,110.5,,,,,182.0,5.4,9.25,10.5,,,
497,Derrick Walton,2017,,71.0,72.75,74.5,95.0,32.5,127.5,26.0,121.0,189.0,5.8,8.0,8.5,,11.28,3.29
498,Devin Robinson,2017,,79.0,80.25,84.75,106.0,41.5,147.5,35.5,141.5,190.0,3.2,9.25,10.25,,12.85,3.23
499,Eric Mika,2017,,80.5,81.75,82.0,106.5,32.0,138.5,29.0,135.5,233.0,6.5,8.25,8.75,,11.71,3.38
500,Hamidou Diallo,2017,,75.75,77.0,83.25,101.5,44.5,146.0,34.5,136.0,197.0,5.2,8.5,9.5,,10.88,3.11
501,Isaiah Briscoe,2017,,73.25,74.75,81.0,99.5,33.5,133.0,28.0,127.5,222.0,11.0,9.0,9.25,,10.95,3.38
502,Isaiah Hicks,2017,,79.25,80.5,84.5,105.0,37.0,142.0,31.5,136.5,233.0,7.7,8.75,9.75,,12.31,3.36
503,Jamel Artis,2017,,77.5,78.75,82.0,105.0,31.0,136.0,23.5,128.5,213.0,11.9,9.25,9.75,,11.62,3.44
504,Johnathan Motley,2017,,79.75,80.75,88.0,108.0,,,,,238.0,,9.0,9.5,,,
505,Jonathan Jeanne,2017,,84.75,86.0,90.5,113.5,31.5,145.0,29.0,142.5,207.0,8.7,9.5,10.0,,12.61,3.36
506,Justin Jackson (Canada),2017,,77.75,79.0,87.25,107.0,31.5,138.5,26.5,133.5,219.0,8.1,9.0,9.5,,11.78,3.43
507,Kennedy Meeks,2017,,80.75,82.25,85.0,106.0,30.5,136.5,28.0,134.0,277.0,11.5,8.75,8.75,,12.91,3.5
508,Kobi Simmons,2017,,75.25,76.5,78.0,99.0,38.5,137.5,30.5,129.5,166.0,5.0,8.5,9.5,,11.15,3.18
509,Moritz Wagner,2017,,82.0,83.25,84.0,108.0,32.5,140.5,25.5,133.5,231.0,6.7,8.75,10.75,,12.0,3.35
510,Omer Yurtseven,2017,,82.5,83.75,85.0,108.5,31.5,140.0,26.0,134.5,248.0,7.6,9.0,10.5,,12.85,3.45
511,P.J. Dozier,2017,,77.25,78.75,83.0,101.0,39.0,140.0,34.0,135.0,201.0,6.1,8.5,9.5,,10.84,3.15
512,Peter Jok,2017,,76.25,77.75,80.0,102.0,31.0,133.0,26.5,128.5,202.0,11.0,8.25,9.5,,11.34,3.41
513,Rawle Alkins,2017,,74.5,75.75,80.75,99.0,40.5,139.5,31.5,130.5,223.0,11.0,8.75,10.0,,11.99,3.3
514,Sviatoslav Mykhailiuk,2017,,78.5,79.5,77.0,100.0,33.0,133.0,27.0,127.0,220.0,11.4,8.0,9.25,,12.4,3.53
515,Thomas Welsh,2017,,83.5,84.5,84.0,109.5,,,,,254.0,10.9,9.0,10.5,,,
516,V.J. Beachem,2017,,78.25,80.0,82.25,104.5,37.0,141.5,30.0,134.5,193.0,6.8,8.5,9.0,,11.18,3.26
